epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,177.06,1.33222,2.16694,1.55362,0.40745,0.53017,0.4779,0.25973,1.5566,2.52059,1.71035,0.000475154,0.000475154,0.000475154
2,356.072,1.43385,1.92416,1.6098,0.4228,0.42755,0.4151,0.21919,1.52972,2.24679,1.76814,0.000932648,0.000932648,0.000932648
3,535.037,1.4232,1.85746,1.59571,0.64731,0.51901,0.55607,0.33271,1.36318,2.16732,1.61488,0.00137128,0.00137128,0.00137128
4,661.46,1.36831,1.69941,1.55853,0.71241,0.60766,0.67442,0.43344,1.29731,1.53706,1.53061,0.00134412,0.00134412,0.00134412
5,787.297,1.27944,1.50281,1.47552,0.74428,0.70561,0.77048,0.50386,1.18523,1.25443,1.37213,0.00131582,0.00131582,0.00131582
6,915.759,1.22394,1.38641,1.43277,0.85073,0.80497,0.86728,0.59518,1.09796,0.96277,1.30779,0.00128753,0.00128753,0.00128753
7,1044.77,1.17164,1.28366,1.38614,0.83525,0.78202,0.85936,0.60483,1.06859,0.98661,1.2981,0.00125923,0.00125923,0.00125923
8,1171.17,1.15568,1.21504,1.37727,0.84632,0.82669,0.88008,0.62235,1.05262,0.87147,1.30737,0.00123094,0.00123094,0.00123094
9,1296.94,1.11462,1.16418,1.3594,0.87465,0.83127,0.89021,0.64022,1.06431,0.83583,1.28753,0.00120265,0.00120265,0.00120265
10,1423.24,1.06895,1.06248,1.32557,0.84482,0.82977,0.89254,0.64259,1.04722,0.85249,1.28087,0.00117435,0.00117435,0.00117435
11,1549.29,1.06105,1.05284,1.31455,0.89255,0.85443,0.91405,0.66349,1.01253,0.77334,1.25894,0.00114606,0.00114606,0.00114606
12,1676.02,1.04087,1.02768,1.29541,0.89751,0.87695,0.92242,0.66941,1.03176,0.72829,1.23243,0.00111776,0.00111776,0.00111776
13,1802.93,1.01558,0.965,1.274,0.89582,0.86372,0.91064,0.67462,0.96194,0.72467,1.20626,0.00108947,0.00108947,0.00108947
14,1930.16,0.99259,0.93744,1.26351,0.8712,0.88429,0.90756,0.66971,0.97692,0.74552,1.20916,0.00106118,0.00106118,0.00106118
15,2055.81,0.98442,0.90784,1.25795,0.9012,0.8633,0.90069,0.67377,0.99603,0.71001,1.21925,0.00103288,0.00103288,0.00103288
16,2181.67,0.96521,0.8881,1.24264,0.92229,0.87354,0.91942,0.69137,0.96046,0.64785,1.19932,0.00100459,0.00100459,0.00100459
17,2307.63,0.93978,0.85809,1.23146,0.8922,0.87993,0.93015,0.6898,0.9473,0.64559,1.18815,0.000976293,0.000976293,0.000976293
18,2434.21,0.9314,0.84213,1.21865,0.90683,0.8718,0.92486,0.69422,0.9304,0.62415,1.1779,0.000947999,0.000947999,0.000947999
19,2559.94,0.91879,0.82086,1.21492,0.91491,0.89969,0.93635,0.7074,0.93378,0.60708,1.15812,0.000919704,0.000919704,0.000919704
20,2686.04,0.90082,0.80068,1.19868,0.93723,0.90882,0.94371,0.71307,0.9343,0.58737,1.18404,0.00089141,0.00089141,0.00089141
21,2812.07,0.88248,0.76267,1.18567,0.93786,0.91874,0.94244,0.71991,0.90416,0.55006,1.15709,0.000863116,0.000863116,0.000863116
22,2938.03,0.87657,0.74924,1.18241,0.88768,0.93529,0.94172,0.72256,0.9178,0.56046,1.15134,0.000834822,0.000834822,0.000834822
23,3064.05,0.85903,0.74633,1.17481,0.9214,0.86228,0.91516,0.69548,0.92069,0.65502,1.15043,0.000806528,0.000806528,0.000806528
